[2019-03-03 00:07:35Z] 0000007F-AgebullMac:Background:4A3H-T6VXL4C5HR-CVM0GHDHQP > AppManage : sys/role/v1/edit/roles(Roles)
[2019-03-03 00:07:35Z] 00000080-AgebullMac:Background:4A3H-MRUAPZ84DM-LLRPFKM69Q > AppManage : sys/role/v1/edit/powers(LoadPowers)
[2019-03-03 00:07:35Z] 00000081-AgebullMac:Background:4A3H-XGR7ZH05FT-HE15Z5V0F3 > AppManage : sys/role/v1/edit/savepowers(SavePowers)
[2019-03-03 00:07:35Z] 00000082-AgebullMac:Background:4A3H-5LRDQWM1UZ-RP55YP3VY1 > AppManage : sys/role/v1/edit/combo(ComboData)
[2019-03-03 00:07:35Z] 00000083-AgebullMac:Background:4A3H-RMTLSAE67M-6MU4FF5KQ6 > AppManage : sys/role/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 00000084-AgebullMac:Background:4A3H-52WAWX102N-LGiWYC7FH2 > AppManage : sys/role/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 00000085-AgebullMac:Background:4A3H-QZUMQP62AF-A7M0K070iD > AppManage : sys/role/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000086-AgebullMac:Background:4A3H-ES25LDTNH2-JTQ7JDGA26 > AppManage : sys/role/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 00000087-AgebullMac:Background:4A3H-Y7ES1ii5TE-7EUK6HGH3N > AppManage : sys/role/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000088-AgebullMac:Background:4A3H-SBD34JEZP4-CGUMTZRB67 > AppManage : sys/role/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000089-AgebullMac:Background:4A3H-72QXFJSYQQ-HD0DWV83iF > AppManage : sys/role/v1/edit/list(List)
[2019-03-03 00:07:35Z] 0000008A-AgebullMac:Background:4A3H-HFXLNBMND8-77AP13GRUC > AppManage : sys/role/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 0000008B-AgebullMac:Background:4A3H-WJV02TSBR8-R60DMVWDXJ > AppManage : sys/role/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000008C-AgebullMac:Background:4A3H-66iBFRGY6U-GPT3XSXG0K > AppManage : sys/role/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000008D-AgebullMac:Background:4A3H-1XLARRY77T-BKVN8RFL0N > AppManage : sys/role/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000008E-AgebullMac:Background:4A3H-30AZ2JU04S-7FZ20Di9PK > AppManage : app/page/v1/bind/type(BindPageType)
